	R100	R101	R102	R103	R104	R105	R106	R107	R108	R109	R10	R110	R111	R112	R113	R114	R115	R116	R117	R118	R119	R11	R120	R121	R122	R123	R124	R125	R126	R127	R128	R129	R12	R130	R131	R132	R13	R14	R15	R16	R17	R18	R19	R1	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R2	R30	R31	R32	R33	R34	R35	R36	R37	R38	R39	R3	R40	R41	R42	R43	R44	R45	R46	R47	R48	R49	R4	R50	R51	R52	R53	R54	R55	R56	R57	R58	R59	R5	R6
1_c00001_vamb384_MEGAHIT.k21-141.Full_110	0.0453048	0.255555	0	0	0	0.336035	0	0	0	0.303913	0.848695	0	0	0	0.0921013	0.0177443	0	3.25084	0.149745	0.0603995	0	0	0	0	0	0	0	0	23.2218	0	4.67554	0.0271417	0	38.6191	38.8412	39.0748	0	0	0.0230735	0	0.0458016	0.0499026	0.217008	0	0.039682	0	0	0.0593226	0.0558003	1.27723	0.0138503	0.338719	0.0320709	0	0.220583	0	0	0	0	0	0	0	0.0106811	0	0	0	0	0	0	0	0	0.0635682	0	0	15.4105	0.618557	0	0	0	0	0	0	0	0	0	0	0	0	0.104718
2_c00002_vamb384_MEGAHIT.k21-141.Full_110	1.32587	1.69614	0	0	0	3.04317	0	0	0	6.88425	12.6929	0.1783	0	0	21.5294	0	0	17.3262	0.233064	0.252423	0	0	0	0	0	0	0	0.275187	198.963	0	48.298	0.253521	0	253.651	273.624	248.289	0	0	25.0929	0	8.42379	0	1.76993	0	1.24437	0	0	0.82533	0	15.2725	3.36544	0	0	0	0	0	0	0	0	0	0	0.17059	0	0	0	0	0	0	0	0	0	0	0	0	126.655	5.2009	0	0	0	0	0	0	0	0	0	0	0	0	0
3_c00003_vamb384_MEGAHIT.k21-141.Full_110	0	0.0662598	0	0	0	0.401221	0	0	0	2.18905	2.19717	0	0	0	6.36299	0.174204	0	3.90138	0.983285	0.0665599	0	0	0	0	0	0	0	0	33.1668	0	11.8639	0.401104	0	40.7233	37.4076	35.9238	0	0	5.59891	0	5.45213	0.368895	0.143607	0	0.262503	0	0	0	0	2.929	0.614397	0	0	0	0	0	0	0	0	0	0	0.359861	0	0	0	0	0	0	0	0	0	0	0	0	29.6091	0.304763	0	0	0	0	0	0	0	0	0	0	0	0	0
4_c00004_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.0569204	0	0	0	0	0.738911	0	0	0	0	0	0	0.932211	0	0.151081	0	0	0	0	0	0	0	0	21.1346	0	4.47469	0	0	39.1105	39.1799	36.0541	0	0	0.115547	0	0	0	0.434672	0	0	0	0	0	0	1.57925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.0832	0.345911	0	0	0	0	0	0	0	0	0	0	0	0	0
5_c00005_vamb384_MEGAHIT.k21-141.Full_110	15.0269	4.20513	0	30.097	2.23964	3.53638	1.62367	8.08015	0	4.6042	16.6417	45.7476	0	0	1.75021	1.12609	3.13403	19.0645	9.8221	4.84962	6.44289	0	89.3161	0.875183	1.38698	8.99517	2.82023	1.4499	143.848	0.282178	106.515	0.314265	27.4213	87.7471	96.258	102.521	15.6689	137.231	12.6829	41.1448	301.387	7.22643	9.50847	5.77542	32.8053	28.229	115.728	34.7847	55.4363	92.0956	10.1905	60.8293	29.1537	82.9502	68.7408	18.7106	12.1422	32.4904	0	16.3038	6.53213	9.30431	6.30743	73.4948	76.4052	38.8457	2.37156	29.5786	27.2901	102.531	28.8885	48.2185	23.099	0	187.148	7.52197	9.67518	23.8487	0.382206	0	0.658822	88.2557	98.3483	131.901	19.4071	44.0641	50.4099	0	6.32919
6_c00006_vamb384_MEGAHIT.k21-141.Full_110	3.06855	26.3824	0	0	17.2617	17.5387	0	0	7.23381	1.86054	0.913426	0.222176	0	0	1.27964	0	62.4883	8.24853	2.61377	0.393174	1.94313	0	0	0	0.929562	8.22087	0	0	34.1477	35.7431	4.36593	0	0.689173	44.8776	46.3685	44.6815	41.6967	30.4696	0	1.61155	0.954289	0	1.6403	0	0	0	0	1.02851	0.972047	16.1807	0	2.95899	0	0	0.213949	5.04658	0	0	0	7.94682	5.15964	0	0	0	0	0	0	0.234138	2.42072	0	5.21265	0	0.207335	0	13.0845	7.61336	0	0	24.591	0	15.6749	0	23.6733	19.6447	17.9283	0	0	0	0.0908968
7_c00007_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0	0.482262	0	0	0	0	0	0	0.973464	0	0.0788818	0	0	0	0	0	0	0	0	10.3455	0	4.61016	0	0	23.0508	25.8239	30.0307	0	0	0	0	0	0	0	0	0	0	0	0	0	0.607601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.32272	0.103207	0	0	0	0	0	0	0	0	0	0	0	0	0
8_c00008_vamb384_MEGAHIT.k21-141.Full_110	0	0.158315	0	0	0	0.239647	0	0	0	0.0917687	1.65275	0	0	0	0.0808676	0	0	4.41547	0	0.159019	0	0	0	0	0	0	0	0	53.2981	0	13.9406	0	0	76.0964	84.3609	68.371	0	0	0	0	0	0	0.171575	0	0	0	0	0	0	1.66235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.8297	0.312085	0	0	0	0	0	0	0	0	0	0	0	0	0
9_c00009_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.244866	0	0	0	0.0937693	1.19207	0	0	0	0.165259	0.212658	0	1.50389	0	0.649928	0	0	0	0	0	0	0	0	23.915	0	4.74809	0	0	38.2365	45.2406	44.7576	0	0	0	1.10997	0	0	0.29254	0	0.106813	0.177696	0	0	0	1.0728	0.0833435	0	0	0	0	0	0	0	0	0	0	0.439265	0	0	0	0	0	0	0.833642	0	0	0	0	0	21.0603	0.744578	0.628057	0	0	0	0	0	0	0	0	0	0.271285	0	0
10_c00010_vamb384_MEGAHIT.k21-141.Full_110	24.1116	29.752	0	183.072	0	29.286	6.30813	0	0	21.3343	61.572	6.83263	0	0	8.34539	3.16522	0	107.388	51.0364	10.3641	0	0	10.5326	4.96058	0	61.8573	5.43169	6.21589	390.196	20.2521	122.662	6.15951	0	44.0427	44.4579	42.8633	0	0	2.51042	5.30996	103.767	10.6932	212.299	4.78279	5.67783	5.4785	0	14.686	8.18558	98.2816	2.7469	0	3.48579	6.31652	41.1241	0	3.74034	4.63693	0	0	0	9.57337	5.66739	0.731085	6.63551	0	0	6.42907	3.98802	0	0	78.0377	2.04956	0	218.303	61.8719	1.66923	0	0.422044	0	31.0388	0	0	0	0	0	11.8249	0	5.5908
